Source,Target,Symbol,Compare Length,Score,Relationship
5126,0,A,2491,0.11913031638145556,4.7824294011021903e-05
5126,1,AA,2491,0.12706686275656123,5.1010382479550874e-05
5126,3,AAL,2491,0.13356639271257986,5.361958760039336e-05
5126,4,AAMC,1807,0.076403356917629,4.2281879865871063e-05
5126,5,AAME,2491,-0.0002669806791144771,-1.0717811285205825e-07
5126,6,AAN,2491,0.08034978081401492,3.2256034048179414e-05
5126,7,AAOI,1610,0.07301864284620042,4.53531943144102e-05
5126,8,AAON,2491,0.11354964417155512,4.5583959924349705e-05
5126,9,AAP,2491,0.07363740046798713,2.9561381159368577e-05
5126,10,AAPL,2491,0.09018591943825918,3.620470471226784e-05
5126,11,AAT,2289,0.05724426212525024,2.5008415083115e-05
5126,12,AAU,2491,0.04636614260125615,1.861346551636136e-05
5126,13,AAWW,2491,0.13020203007643066,5.226898035986779e-05
5126,14,AAXN,2491,0.10295344170026907,4.133016527509798e-05
5126,15,AB,2491,0.09222997503398772,3.7025281025286116e-05
5126,16,ABB,2491,0.087002486104167,3.492673067208631e-05
5126,17,ABBV,1795,0.056104834683531016,3.125617531115934e-05
5126,18,ABC,2491,0.06713549744548582,2.6951223382370862e-05
5126,19,ABCB,2491,0.0944078089036414,3.789956198460112e-05
5126,20,ABEO,2491,0.08695154768403987,3.490628168769164e-05
5126,21,ABEV,2491,0.07913167714732515,3.176703217475919e-05
5126,22,ABG,2491,0.14146552709061452,5.679065720217363e-05
5126,23,ABIO,2491,0.04745156888839438,1.904920469224985e-05
5126,24,ABM,2491,0.08403954368290258,3.373727165110501e-05
5126,25,ABMD,2491,0.11101895091443115,4.4568025256696566e-05
5126,26,ABR,2491,0.06267100831735323,2.5158975639242564e-05
5126,27,ABT,2491,0.06932661887014235,2.7830838566897774e-05
5126,28,ABTX,1098,0.030527577144614272,2.780289357432994e-05
5126,29,ABUS,2491,0.08012583916428964,3.21661337472058e-05
5126,30,AC,1106,0.015269650050710435,1.3806193535904553e-05
5126,31,ACA,323,0.011025660037747001,3.413517039550155e-05
5126,32,ACAD,2491,0.14756997511873393,5.924125857837572e-05
5126,35,ACB,2219,0.048735256157468106,2.1962711202103697e-05
5126,36,ACBI,1081,0.019228759845683143,1.7787936952528348e-05
5126,37,ACC,2491,0.05398486686234464,2.1671965821896685e-05
5126,38,ACCO,2491,0.12218874257020229,4.9052084532397545e-05
5126,40,ACER,2491,0.09471445768276983,3.802266466590519e-05
5126,41,ACGL,2491,0.05666097187499684,2.2746275341227156e-05
5126,42,ACGLO,628,0.003928811945474316,6.2560699768699296e-06
5126,43,ACGLP,856,0.002908487341270418,3.3977655855962827e-06
5126,44,ACH,2491,0.10720614985402355,4.303739456203274e-05
5126,45,ACHC,2491,0.06177535239350251,2.479941886531614e-05
5126,46,ACHV,2491,0.09266566430394818,3.720018639259261e-05
5126,47,ACIA,948,0.030083839568402895,3.173400798354736e-05
5126,48,ACIU,856,0.021602864195418167,2.523699088249786e-05
5126,49,ACIW,2491,0.10512800764663059,4.220313434228446e-05
5126,50,ACLS,2491,0.16118921947958853,6.470863889184606e-05
5126,51,ACM,2491,0.11219885822954816,4.5041693388016124e-05
5126,52,ACMR,576,0.026115639325865313,4.533965160740506e-05
5126,53,ACN,2491,0.0835229935889084,3.35299050939014e-05
5126,54,ACNB,2491,0.01863101859028191,7.479333035038904e-06
5126,55,ACOR,2491,0.12474101854842978,5.007668347989955e-05
5126,56,ACP,2280,0.0253281233556081,1.1108826033161447e-05
5126,57,ACRE,1965,0.03577534403149676,1.8206281949871123e-05
5126,58,ACRS,1100,0.033334196189900446,3.0303814718091315e-05
5126,59,ACRX,2269,0.05466551642225181,2.4092338661195156e-05
5126,60,ACST,2021,0.04999258980852567,2.4736561013619825e-05
5126,61,ACTG,2491,0.10162700276695025,4.079767272860307e-05
5126,64,ACU,2491,0.010160944837486995,4.079062560211559e-06
5126,65,ACV,1195,0.02813464713676877,2.354363777135462e-05
5126,66,ACY,2491,0.017620282640098895,7.073577936611359e-06
5126,67,ADAP,1206,0.04470857803162705,3.707178941262607e-05
5126,68,ADBE,2491,0.10536169960018514,4.2296948855955494e-05
5126,69,ADC,2491,0.058990535193448546,2.3681467359874968e-05
5126,70,ADES,2491,0.08934969189178228,3.5869005175344154e-05
5126,71,ADI,2491,0.10285342711948973,4.129001490144108e-05
5126,72,ADIL,393,0.002693615804141847,6.853984234457627e-06
5126,73,ADM,2491,0.08553983595791341,3.433955678760072e-05
5126,74,ADMA,1595,0.03184641419539754,1.996640388426178e-05
5126,75,ADMP,2491,0.022775312562200823,9.143039968767894e-06
5126,76,ADMS,1475,0.06818101475069337,4.6224416780131095e-05
5126,77,ADNT,840,0.03243626623869255,3.861460266511018e-05
5126,78,ADP,2491,0.07872544315702767,3.1603951488168476e-05
5126,80,ADRO,1221,0.07141200862581176,5.8486493551033385e-05
5126,81,ADS,2491,0.09488936759667649,3.8092881411752904e-05
5126,82,ADSK,2491,0.13159291957025263,5.282734627468993e-05
5126,83,ADSW,847,0.010001486086021104,1.1808129971689614e-05
5126,84,ADT,524,0.017502849737465857,3.340238499516385e-05
5126,85,ADTN,2491,0.09725942603406558,3.904433000163211e-05
5126,86,ADUS,2491,0.05953271369669666,2.3899122319027163e-05
5126,87,ADVM,1398,0.04203843392250496,3.007041053111943e-05
5126,88,ADX,2491,0.07637881665454227,3.066190953614704e-05
5126,90,ADXS,2491,0.08758848672664253,3.516197781077581e-05
5126,91,AE,2491,0.07949305315822705,3.19121048407174e-05
5126,92,AEB,2491,0.029012659284174677,1.1646992888066911e-05
5126,93,AEE,2491,0.0412878512072826,1.6574809798186513e-05
5126,94,AEF,2491,0.053462601888121145,2.1462305053440843e-05
5126,96,AEG,2491,0.11090228699680713,4.452119108663474e-05
5126,97,AEGN,2491,0.12762140799782953,5.123300200635469e-05
5126,98,AEHR,2491,0.07023955592159777,2.819733276659886e-05
5126,99,AEIS,2491,0.13122982135396294,5.268158223764068e-05
5126,100,AEL,2491,0.11590931803548249,4.6531239677030303e-05
5126,101,AEM,2491,0.029532410731284382,1.1855644613120988e-05
5126,102,AEMD,2491,0.027357473414217133,1.098252646094626e-05
5126,103,AEO,2491,0.09117037183000046,3.659990840224828e-05
5126,104,AEP,2491,0.03576617871799015,1.4358160866314793e-05
5126,105,AER,2491,0.0985152574954749,3.9548477517252067e-05
5126,106,AERI,1589,0.06096893811984302,3.836937578341285e-05
5126,107,AES,2491,0.08767718468071903,3.519758517893177e-05
5126,108,AESE,582,-0.005310304607941875,-9.124234721549613e-06
5126,109,AEY,2491,0.02440847031179239,9.798663312642468e-06
5126,110,AEYE,1716,0.060050926878302664,3.499471263304351e-05
5126,111,AEZS,2491,0.08719638099950178,3.5004568847652256e-05
5126,113,AFC,2491,0.009913930257593169,3.97989974210886e-06
5126,114,AFG,2491,0.07846312947937775,3.14986469206655e-05
5126,116,AFGH,1067,0.0027435568163382273,2.5712809900077107e-06
5126,117,AFH,1767,0.02707268975196192,1.5321273204279523e-05
5126,118,AFI,988,0.032533617392205734,3.2928762542718355e-05
5126,119,AFIN,399,0.005518706534139234,1.3831344697090812e-05
5126,121,AFL,2491,0.0996701036256193,4.0012084956089644e-05
5126,122,AFMD,1368,0.05967325161477425,4.362079796401627e-05
5126,123,AFT,2260,0.017656159747554544,7.81246006528962e-06
5126,125,AG,2491,0.07645332704925084,3.06918213766563e-05
5126,128,AGCO,2491,0.10710896421925398,4.299837985518024e-05
5126,129,AGD,2491,0.07096942292700746,2.849033437455137e-05
5126,130,AGE,306,0.014854005675066938,4.8542502206101104e-05
5126,131,AGEN,2491,0.13128187562177773,5.270247917373654e-05
5126,132,AGFS,1319,0.015933479400058483,1.2079969219149722e-05
5126,133,AGI,2491,0.03402481317626004,1.3659098023388215e-05
5126,134,AGIO,1655,0.09002862993705402,5.439796370818974e-05
5126,135,AGLE,974,0.01900219532848202,1.9509440788995913e-05
5126,136,AGM,2491,0.11350922781032101,4.556773497002048e-05
5126,138,AGMH,463,-0.005644382863989789,-1.2190891714880755e-05
5126,139,AGN,2491,0.07579097054507332,3.0425921535557334e-05
5126,140,AGNC,2491,0.042921732186963,1.7230723479310717e-05
5126,142,AGNCN,631,0.001028832620821809,1.6304795892580175e-06
5126,145,AGO,2491,0.11566592622160057,4.6433531200963696e-05
5126,146,AGR,1049,0.006137993354339955,5.851280604709204e-06
5126,147,AGRO,2279,0.04755044365269709,2.086460888665954e-05
5126,148,AGRX,1445,0.04978049980000346,3.4450172871974714e-05
5126,149,AGS,519,0.013779020628242803,2.6549172694109446e-05
5126,150,AGTC,1485,0.04894982740914805,3.296284674016704e-05
5126,151,AGX,2491,0.11312249068376604,4.5412481205847465e-05
5126,152,AGYS,2491,0.1001587901729691,4.020826582616182e-05
5126,153,AHC,2491,0.08293446935464248,3.329364486336511e-05
5126,155,AHH,1708,0.024948859066321976,1.4607060343279846e-05
5126,156,AHPI,2491,0.0135809711224899,5.452015705535889e-06
5126,157,AHT,2491,0.11985876061124003,4.81167244525251e-05
5126,158,AI,2491,0.08354369126725632,3.353821407758182e-05
5126,159,AIC,1237,-0.003914298659531107,-3.164348148367912e-06
5126,160,AIF,1758,0.013904469938328752,7.909254799959472e-06
5126,161,AIG,2491,0.11193886967553975,4.493732223024478e-05
5126,163,AIHS,484,0.0039416957408670685,8.14399946460138e-06
