Source,Target,Symbol,Compare Length,Score,Relationship
5217,0,A,2427,0.1393654859351902,5.742294434906889e-05
5217,1,AA,2427,0.16691498035422508,6.877419874504535e-05
5217,3,AAL,2427,0.16986341715431374,6.998904703515193e-05
5217,4,AAMC,1807,0.0829018877203113,4.587818910919275e-05
5217,5,AAME,2427,0.04782844085604239,1.9706815350656116e-05
5217,6,AAN,2427,0.11936950635948611,4.918397460217804e-05
5217,7,AAOI,1610,0.1179468276337453,7.32588991513946e-05
5217,8,AAON,2427,0.12193061489667632,5.023923151902609e-05
5217,9,AAP,2427,0.06933962386266232,2.857009635874014e-05
5217,10,AAPL,2427,0.10288716306524509,4.23927330305913e-05
5217,11,AAT,2289,0.06131650311657369,2.6787463135244076e-05
5217,12,AAU,2427,0.07949824916137617,3.275576809286204e-05
5217,13,AAWW,2427,0.14475975173374303,5.964555077616112e-05
5217,14,AAXN,2427,0.16814802996425005,6.928225379655955e-05
5217,15,AB,2427,0.10414866799437761,4.2912512564638484e-05
5217,16,ABB,2427,0.0664908158260848,2.7396298239013106e-05
5217,17,ABBV,1795,0.07723316562483586,4.302683321717875e-05
5217,18,ABC,2427,0.0665650199742453,2.7426872671712113e-05
5217,19,ABCB,2427,0.0956609585766202,3.9415310497165307e-05
5217,20,ABEO,2427,0.10804070646949797,4.4516154293159445e-05
5217,21,ABEV,2427,0.07000422465926302,2.8843932698501452e-05
5217,22,ABG,2427,0.16787249724595818,6.91687256884871e-05
5217,23,ABIO,2427,0.10767110416354203,4.4363866569238576e-05
5217,24,ABM,2427,0.08510028898269541,3.5063983923648706e-05
5217,25,ABMD,2427,0.17849347059316378,7.354489929673003e-05
5217,26,ABR,2427,0.07695929717763257,3.170964036985273e-05
5217,27,ABT,2427,0.05927000303979349,2.4421097255786356e-05
5217,28,ABTX,1098,0.0448764097813699,4.0871047159717573e-05
5217,29,ABUS,2427,0.17612608059627136,7.256946048466063e-05
5217,30,AC,1106,0.01520525451135848,1.374796972093895e-05
5217,31,ACA,323,0.016772757811511576,5.192804276009776e-05
5217,32,ACAD,2427,0.2653044951071528,0.00010931375982989403
5217,35,ACB,2219,0.04174035967714365,1.8810436988347747e-05
5217,36,ACBI,1081,0.019820155367646274,1.8335018841485914e-05
5217,37,ACC,2427,0.04142179978436662,1.7067078609133344e-05
5217,38,ACCO,2427,0.15522542157606656,6.395773447715969e-05
5217,40,ACER,2427,0.13001034694007452,5.356833413270479e-05
5217,41,ACGL,2427,0.032866727719315106,1.3542121021555462e-05
5217,42,ACGLO,628,0.0013265562243003981,2.1123506756375767e-06
5217,43,ACGLP,856,0.00474854848411179,5.547369724429661e-06
5217,44,ACH,2427,0.09787685337388204,4.0328328543008666e-05
